"soldPrice","sqftLiving","sqftLand","sqftAbove","sqftBasement","numBedRooms","numBathRooms","numFloors","builtYear","grade","waterFront","condition"
221900,1180,5650,1180,0,3,1,"1",1955,"2","0","average"
180000,770,10000,770,0,2,1,"1",1933,"1","0","average"
604000,1960,5000,1050,910,4,3,"1",1965,"2","0","excellent"
510000,1680,8080,1680,0,3,2,"1",1987,"2","0","average"
229500,1780,7470,1050,730,3,1,"1",1960,"2","0","average"
468000,1160,6000,860,300,2,1,"1",1942,"2","0","good"
650000,2950,5000,1980,970,4,3,"2",1979,"2","0","average"
395000,1890,14040,1890,0,3,2,"2",1994,"2","0","average"
189000,1200,9850,1200,0,2,1,"1",1921,"2","0","good"
230000,1250,9774,1250,0,3,1,"1",1969,"2","0","good"
550000,1660,34848,930,730,4,1,"1",1933,"1","0","average"
640000,2360,6000,2360,0,4,2,"2",1904,"2","0","good"
240000,1220,8075,890,330,4,1,"1",1969,"2","0","average"
685000,1570,2280,1570,0,3,1,"2",1922,"2","0","average"
309000,1280,9656,920,360,3,1,"1",1959,"1","0","good"
210490,990,8528,990,0,3,1,"1",1966,"1","0","average"
228000,1190,9199,1190,0,3,1,"1",1955,"2","0","average"
430000,1850,9976,1850,0,4,3,"2",1991,"2","0","average"
204000,1000,12070,1000,0,3,1,"1",1968,"2","0","good"
325000,1260,5612,1260,0,3,2,"1",1972,"2","0","good"
832500,3430,35102,2390,1040,4,4,"2",1986,"3","0","good"
480000,1040,5060,1040,0,3,1,"1",1941,"2","0","average"
410000,1410,5060,910,500,3,1,"1",1956,"2","0","good"
355000,2020,6720,1010,1010,2,1,"1",1948,"2","0","average"
315000,960,6634,960,0,3,1,"1",1952,"1","0","average"
153000,1200,10500,1200,0,3,1,"1",1962,"2","0","average"
290000,1210,33919,1210,0,3,1,"1",1954,"2","0","average"
205425,880,6780,880,0,2,1,"1",1945,"1","0","good"
171800,1570,9600,1570,0,4,2,"1",1950,"1","0","average"
391500,1450,9132,1450,0,3,2,"1",1987,"2","0","average"
395000,770,6000,770,0,2,1,"1",1953,"1","0","average"
382500,1190,4440,1190,0,2,1,"1",1981,"1","0","average"
665000,1110,3200,1110,0,2,1,"1",1925,"2","0","average"
205000,1610,8579,1010,600,3,1,"1",1962,"2","0","good"
420000,1060,8097,940,120,3,1,"1",1923,"2","0","good"
890000,2550,4000,2370,180,4,1,"2",1905,"2","0","average"
258000,2260,12500,1130,1130,5,2,"1",1960,"2","0","good"
511000,1430,3455,980,450,3,1,"1",1947,"2","0","average"
532170,1360,3090,1360,0,3,2,"2",1990,"2","0","average"
282950,1250,8200,1250,0,3,1,"1",1954,"2","0","good"
350000,700,5100,700,0,1,1,"1",1942,"2","0","average"
215000,1180,7669,1180,0,3,1,"1",1967,"2","0","good"
420000,2020,38332,1010,1010,3,2,"1",1975,"2","0","good"
371500,1370,8336,1370,0,3,2,"1",1964,"2","0","excellent"
385000,1220,4800,1220,0,3,1,"1",1901,"1","0","average"
330000,1350,8220,1060,290,2,1,"1",1949,"2","0","average"
589000,2440,9600,2440,0,4,3,"2",1961,"2","0","excellent"
1095000,4090,12850,2090,2000,5,3,"1",1986,"3","0","good"
166950,1190,8820,1190,0,3,1,"1",1959,"1","0","average"
230000,1060,10228,1060,0,3,1,"1",1948,"2","0","average"
210000,860,11725,860,0,3,1,"1",1943,"1","0","good"
470000,1010,5000,1010,0,3,1,"1",1952,"2","0","average"
274250,910,8450,910,0,3,1,"1",1962,"1","0","good"
425000,1010,5864,1010,0,3,1,"1",1915,"2","0","average"
280000,850,16400,850,0,2,1,"1",1923,"1","0","average"
1505000,3300,33474,1870,1430,5,3,"1",1957,"2","0","average"
279950,1750,9750,1350,400,3,2,"1",1961,"2","0","average"
479950,1510,6516,1510,0,2,2,"1",2005,"2","0","average"
235000,1430,15246,980,450,3,1,"1",1961,"2","0","good"
213000,1000,10200,1000,0,2,1,"1",1961,"1","0","average"
1025000,3760,28040,3760,0,5,4,"2",1983,"3","0","average"
416000,2220,94300,1640,580,3,2,"1",1976,"2","0","excellent"
210000,830,6000,830,0,2,1,"1",1940,"1","0","average"
225000,1300,8316,1300,0,3,1,"1",1954,"1","0","good"
480000,1030,3060,790,240,2,1,"1",1918,"2","0","good"
250000,2010,7312,2010,0,4,2,"1",1976,"2","0","good"
260000,1810,7209,1240,570,3,2,"1",1978,"2","0","good"
349500,1400,3538,800,600,3,1,"1",1953,"2","0","average"
255000,1230,10170,1230,0,3,1,"1",1979,"2","0","average"
425000,770,5040,770,0,2,1,"1",1930,"1","0","average"
285000,1120,10701,1120,0,3,1,"1",1954,"2","0","average"
415000,1070,4500,1070,0,2,1,"1",1937,"2","0","average"
436000,1040,7538,1040,0,2,1,"1",1939,"2","0","good"
210000,1700,11390,1700,0,3,1,"1",1967,"2","0","good"
236000,1300,5898,1300,0,3,1,"1",1961,"2","0","average"
450000,2290,16258,2290,0,3,2,"1",1960,"2","0","excellent"
170000,860,5265,860,0,2,1,"1",1931,"1","0","average"
2050000,3830,8480,2630,1200,5,3,"2",1905,"2","0","excellent"
330000,2420,13959,1740,680,3,3,"1",1988,"2","0","good"
5e+05,1640,14100,1140,500,2,1,"1",1954,"2","0","good"
580000,3280,11060,2270,1010,4,3,"2",1986,"2","0","average"
550000,1970,4166,1270,700,3,2,"2",1929,"2","0","excellent"
265000,1320,8959,1320,0,3,2,"1",1993,"2","0","average"
3075000,4550,18641,2600,1950,4,5,"1",2002,"3","1","average"
487000,2590,14052,1720,870,3,2,"1",1948,"2","0","excellent"
548000,1470,3864,1170,300,2,1,"1",1916,"2","0","good"
268750,800,8775,800,0,4,1,"1",1943,"1","0","average"
230000,1450,11204,1450,0,3,2,"1",2003,"2","0","average"
232000,1240,12092,960,280,2,1,"1",1922,"1","0","average"
240500,1240,12092,960,280,2,1,"1",1922,"1","0","average"
186375,1000,7636,1000,0,3,1,"1",1952,"2","0","average"
295000,1810,10530,1810,0,3,2,"1",1991,"2","0","average"
640000,1070,5000,1070,0,2,1,"1",1924,"2","0","average"
940000,2490,9525,2490,0,4,2,"2",1968,"2","0","excellent"
165000,1000,7134,1000,0,4,1,"1",1943,"1","0","average"
239900,1000,7134,1000,0,4,1,"1",1943,"1","0","average"
320000,1070,32633,1070,0,2,1,"1",1930,"1","0","good"
206600,1390,13464,1390,0,3,2,"1",1987,"2","0","good"
315000,1900,14400,1300,600,3,1,"1",1954,"2","0","good"
437500,990,3120,790,200,2,1,"1",1907,"2","0","excellent"
9e+05,1330,77972,1330,0,3,1,"1",1928,"2","0","average"
465000,1840,40438,1840,0,3,2,"2",1994,"2","0","average"
338000,2090,7500,1370,720,4,3,"1",1986,"2","0","average"
380000,3450,9914,3450,0,5,3,"2",2004,"2","0","average"
275000,1590,7750,1060,530,3,3,"1",1997,"2","0","average"
595000,2020,2849,2020,0,4,2,"2",1960,"2","0","average"
950000,4040,14338,3030,1010,3,3,"2",1986,"3","0","average"
365500,1410,9600,1410,0,3,2,"1",1983,"2","0","good"
